periodo;codigo;indice;valor
200701;5031;llegada_pax_nacional;5
200701;5045;llegada_pax_nacional;0
200701;5059;llegada_pax_nacional;661
200701;5147;llegada_pax_nacional;4059
200701;5154;llegada_pax_nacional;1143
200701;5172;llegada_pax_nacional;5
200701;5250;llegada_pax_nacional;495
200701;5284;llegada_pax_nacional;0
200701;5313;llegada_pax_nacional;0
200701;5361;llegada_pax_nacional;0
200701;5475;llegada_pax_nacional;44
200701;5480;llegada_pax_nacional;2
200701;5490;llegada_pax_nacional;141
200701;5579;llegada_pax_nacional;8
200701;5585;llegada_pax_nacional;25
200701;5591;llegada_pax_nacional;42
200701;5604;llegada_pax_nacional;948
200701;5615;llegada_pax_nacional;8
200701;5837;llegada_pax_nacional;140
200701;5847;llegada_pax_nacional;7
200701;5873;llegada_pax_nacional;144
200701;8001;llegada_pax_nacional;3983
200701;8141;llegada_pax_nacional;4
200701;11001;llegada_pax_nacional;43857
200701;13001;llegada_pax_nacional;6350
200701;13430;llegada_pax_nacional;0
200701;13468;llegada_pax_nacional;0
200701;15272;llegada_pax_nacional;0
200701;15516;llegada_pax_nacional;0
200701;17001;llegada_pax_nacional;587
200701;18001;llegada_pax_nacional;0
200701;18753;llegada_pax_nacional;0
200701;19001;llegada_pax_nacional;0
200701;20001;llegada_pax_nacional;200
200701;20011;llegada_pax_nacional;0
200701;20060;llegada_pax_nacional;0
200701;20250;llegada_pax_nacional;0
200701;20400;llegada_pax_nacional;0
200701;20770;llegada_pax_nacional;0
200701;23001;llegada_pax_nacional;2610
200701;23068;llegada_pax_nacional;0
200701;23189;llegada_pax_nacional;0
200701;23466;llegada_pax_nacional;0
200701;25572;llegada_pax_nacional;0
200701;27001;llegada_pax_nacional;5683
200701;27006;llegada_pax_nacional;1331
200701;27075;llegada_pax_nacional;1277
200701;27077;llegada_pax_nacional;0
200701;27205;llegada_pax_nacional;391
200701;27495;llegada_pax_nacional;643
200701;41001;llegada_pax_nacional;64
200701;41298;llegada_pax_nacional;0
200701;44001;llegada_pax_nacional;209
200701;44430;llegada_pax_nacional;30
200701;44560;llegada_pax_nacional;0
200701;44847;llegada_pax_nacional;0
200701;47001;llegada_pax_nacional;3109
200701;47245;llegada_pax_nacional;0
200701;47318;llegada_pax_nacional;0
200701;50001;llegada_pax_nacional;0
200701;50568;llegada_pax_nacional;0
200701;50573;llegada_pax_nacional;0
200701;52001;llegada_pax_nacional;322
200701;52022;llegada_pax_nacional;0
200701;52835;llegada_pax_nacional;13
200701;54001;llegada_pax_nacional;1292
200701;54498;llegada_pax_nacional;0
200701;63470;llegada_pax_nacional;0
200701;66001;llegada_pax_nacional;1984
200701;68001;llegada_pax_nacional;1434
200701;68081;llegada_pax_nacional;13
200701;68669;llegada_pax_nacional;8476
200701;70215;llegada_pax_nacional;806
200701;70221;llegada_pax_nacional;0
200701;70713;llegada_pax_nacional;3
200701;70717;llegada_pax_nacional;37
200701;70823;llegada_pax_nacional;0
200701;73001;llegada_pax_nacional;528
200701;73168;llegada_pax_nacional;0
200701;73275;llegada_pax_nacional;0
200701;73443;llegada_pax_nacional;0
200701;73449;llegada_pax_nacional;11
200701;76001;llegada_pax_nacional;6198
200701;76109;llegada_pax_nacional;0
200701;76126;llegada_pax_nacional;0
200701;76147;llegada_pax_nacional;0
200701;81001;llegada_pax_nacional;0
200701;81794;llegada_pax_nacional;0
200701;85001;llegada_pax_nacional;1
200701;85225;llegada_pax_nacional;0
200701;85230;llegada_pax_nacional;5
200701;85325;llegada_pax_nacional;0
200701;86568;llegada_pax_nacional;0
200701;86573;llegada_pax_nacional;0
200701;91001;llegada_pax_nacional;160
200701;94001;llegada_pax_nacional;0
200701;95001;llegada_pax_nacional;0
200701;97001;llegada_pax_nacional;0
200701;97666;llegada_pax_nacional;0
200701;99524;llegada_pax_nacional;0
200702;5001;llegada_pax_nacional;23
200702;5031;llegada_pax_nacional;6
200702;5045;llegada_pax_nacional;0
200702;5059;llegada_pax_nacional;673
200702;5147;llegada_pax_nacional;4220
200702;5154;llegada_pax_nacional;1261
200702;5172;llegada_pax_nacional;0
200702;5250;llegada_pax_nacional;466
200702;5284;llegada_pax_nacional;2
200702;5313;llegada_pax_nacional;0
200702;5361;llegada_pax_nacional;10
200702;5475;llegada_pax_nacional;36
200702;5480;llegada_pax_nacional;0
200702;5490;llegada_pax_nacional;81
200702;5579;llegada_pax_nacional;13
200702;5585;llegada_pax_nacional;143
200702;5591;llegada_pax_nacional;138
200702;5604;llegada_pax_nacional;768
200702;5615;llegada_pax_nacional;0
200702;5837;llegada_pax_nacional;104
200702;5847;llegada_pax_nacional;0
200702;5873;llegada_pax_nacional;91
200702;8001;llegada_pax_nacional;3456
200702;8141;llegada_pax_nacional;0
200702;11001;llegada_pax_nacional;50299
200702;13001;llegada_pax_nacional;3484
200702;13430;llegada_pax_nacional;4
200702;13468;llegada_pax_nacional;0
200702;15272;llegada_pax_nacional;0
200702;15516;llegada_pax_nacional;0
200702;17001;llegada_pax_nacional;771
200702;18001;llegada_pax_nacional;0
200702;18753;llegada_pax_nacional;0
200702;19001;llegada_pax_nacional;0
200702;20001;llegada_pax_nacional;244
200702;20011;llegada_pax_nacional;0
200702;20060;llegada_pax_nacional;0
